S_CODE,S_CITY,E_CODE,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
*,San Diego           CA,*,Portland            OR,1.26,3,No,Yes,4876.684471,23903,26409,2673620,249561,Free,Free,933,6302,96.58
*,San Francisco       CA,*,Portland            OR,1.01,3,No,No,5144.169116,38813,26409,1653017,249561,Free,Free,542,13527,68.41
*,San Jose            CA,*,Portland            OR,1,3,No,Yes,4730.960149,34880,26409,1594251,249561,Free,Free,569,11593,65.84
*,Seattle/Tacoma      WA,*,Portland            OR,1,0,No,No,6397.404173,30916,26409,2230831,249561,Free,Free,135,11415,88.46
*,Spokane             WA,*,Portland            OR,1.01,3,No,Yes,5020.719363,21300,26409,403939,249561,Free,Free,281,6760,50.38
*,Baltimore/Wash Intl MD,*,Providence          RI,1.11,2,No,No,9129.663371,29838,24205,29838,905329,Free,Free,328,1504,176.88
ORD,Chicago             IL,*,Providence          RI,1.11,3,No,No,4124.547463,29260,24205,7830332,905329,Controlled,Free,842,2874,219.38
MDW,Chicago             IL,*,Providence          RI,1.11,2,No,No,4124.547463,29260,24205,7830332,905329,Free,Free,842,2874,219.38
JFK,New York/Newark     NY,*,Providence          RI,1,3,No,No,4449.75788,32991,24205,8621121,905329,Controlled,Free,147,4158,106.29
LGA,New York/Newark     NY,*,Providence          RI,1,3,No,No,4449.75788,32991,24205,8621121,905329,Controlled,Free,147,4158,106.29
EWR,New York/Newark     NY,*,Providence          RI,1,3,No,No,4449.75788,32991,24205,8621121,905329,Free,Constrained,147,4158,106.29
*,Orlando             FL,*,Providence          RI,1.55,2,Yes,No,3087.270205,22360,24205,1421287,905329,Free,Free,1075,4771,108.96
*,Atlanta             GA,*,Raleigh/Durham      NC,1.03,3,No,No,7046.11498,26993,26101,3532657,1021830,Free,Free,356,9307,123.44
*,Boston              MA,*,Raleigh/Durham      NC,1.26,3,No,No,4542.832183,30124,26101,5787293,1021830,Free,Free,606,5598,140.07
ORD,Chicago             IL,*,Raleigh/Durham      NC,1.12,3,No,No,4579.823949,29260,26101,7830332,1021830,Controlled,Free,636,6123,193.67
MDW,Chicago             IL,*,Raleigh/Durham      NC,1.12,3,No,No,4579.823949,29260,26101,7830332,1021830,Free,Free,636,6123,193.67
*,Dallas/Fort Worth   TX,*,Raleigh/Durham      NC,1.19,3,No,No,7617.690001,28637,26101,3036732,1021830,Free,Free,1065,4285,230.56
JFK,New York/Newark     NY,*,Raleigh/Durham      NC,1.06,3,No,No,3474.227895,32991,26101,8621121,1021830,Controlled,Free,426,12883,154.73
LGA,New York/Newark     NY,*,Raleigh/Durham      NC,1.06,3,No,No,3474.227895,32991,26101,8621121,1021830,Controlled,Free,426,12883,154.73
EWR,New York/Newark     NY,*,Raleigh/Durham      NC,1.06,3,No,No,3474.227895,32991,26101,8621121,1021830,Free,Constrained,426,12883,154.73
*,Philadelphia/Camden PA,*,Raleigh/Durham      NC,1.02,3,No,No,5317.359565,27994,26101,4948339,1021830,Free,Free,346,4288,144.86
IAD,Washington          DC,*,Raleigh/Durham      NC,1.01,3,No,No,3266.440988,31981,26101,4549784,1021830,Free,Free,225,7241,109.44
DCA,Washington          DC,*,Raleigh/Durham      NC,1.01,3,No,No,3266.440988,31981,26101,4549784,1021830,Controlled,Free,225,7241,109.44
ORD,Chicago             IL,*,Reno                NV,1.41,3,Yes,No,4014.792118,29260,29284,7830332,298680,Controlled,Free,1680,3926,125.9
MDW,Chicago             IL,*,Reno                NV,1.41,3,Yes,No,4014.792118,29260,29284,7830332,298680,Free,Free,1680,3926,125.9
*,Las Vegas           NV,*,Reno                NV,1,3,Yes,Yes,5182.368319,24575,29284,1197234,298680,Free,Free,344,13102,54.38
*,Los Angeles         CA,*,Reno                NV,1.09,3,Yes,Yes,5265.154269,24706,29284,9056076,298680,Free,Free,388,10213,60.28
*,Oakland             CA,*,Reno                NV,1,3,Yes,Yes,10000,29846,29284,2237227,298680,Free,Free,180,5220,47.85
*,Phoenix             AZ,*,Reno                NV,1.07,3,Yes,Yes,4860.357051,23025,29284,2753373,298680,Free,Free,592,4517,72.42
*,Portland            OR,*,Reno                NV,1.06,3,Yes,Yes,5296.514339,26409,29284,249561,298680,Free,Free,444,9368,44.89
*,San Diego           CA,*,Reno                NV,1.15,3,Yes,Yes,5550.559623,23903,29284,2673620,298680,Free,Free,488,3958,68.59
*,San Jose            CA,*,Reno                NV,1,3,Yes,Yes,5454.194585,34880,29284,1594251,298680,Free,Free,188,6394,42.47
*,Seattle/Tacoma      WA,*,Reno                NV,1.02,3,Yes,Yes,3802.735798,30916,29284,2230831,298680,Free,Free,569,14609,45.11
JFK,New York/Newark     NY,*,Richmond (Intl)     VA,1.04,3,No,No,5006.447847,32991,26553,8621121,936107,Controlled,Free,287,4472,218.54
LGA,New York/Newark     NY,*,Richmond (Intl)     VA,1.04,3,No,No,5006.447847,32991,26553,8621121,936107,Controlled,Free,287,4472,218.54
EWR,New York/Newark     NY,*,Richmond (Intl)     VA,1.04,3,No,No,5006.447847,32991,26553,8621121,936107,Free,Constrained,287,4472,218.54
JFK,New York/Newark     NY,*,Rochester           NY,1.01,3,No,No,3428.640158,32991,26044,8621121,113091,Controlled,Free,254,8469,127.38
LGA,New York/Newark     NY,*,Rochester           NY,1.01,3,No,No,3428.640158,32991,26044,8621121,113091,Controlled,Free,254,8469,127.38
EWR,New York/Newark     NY,*,Rochester           NY,1.01,3,No,No,3428.640158,32991,26044,8621121,113091,Free,Constrained,254,8469,127.38
*,Burbank             CA,*,Sacramento          CA,1.01,3,No,Yes,9819.5561,24706,24236,9056076,1481076,Free,Free,349,15444,52.53
*,Las Vegas           NV,*,Sacramento          CA,1.18,3,Yes,Yes,8072.256517,24575,24236,1197234,1481076,Free,Free,387,7985,56.91
*,Los Angeles         CA,*,Sacramento          CA,1.01,3,No,Yes,4729.105277,24706,24236,9056076,1481076,Free,Free,361,18833,56.79
*,Phoenix             AZ,*,Sacramento          CA,1.1,3,No,Yes,4450.66573,23025,24236,2753373,1481076,Free,Free,629,7007,78.67
*,San Diego           CA,*,Sacramento          CA,1.02,3,No,Yes,9130.734614,23903,24236,2673620,1481076,Free,Free,472,15062,57.57
*,Seattle/Tacoma      WA,*,Sacramento          CA,1.03,3,No,Yes,5889.767136,30916,24236,2230831,1481076,Free,Free,618,10303,64.39
*,Atlanta             GA,*,Salt Lake City      UT,1.46,3,No,No,6749.122107,26993,21121,3532657,1228816,Free,Free,1588,4644,179.13
ORD,Chicago             IL,*,Salt Lake City      UT,1.22,3,No,Yes,2711.422267,29260,21121,7830332,1228816,Controlled,Free,1259,5763,185.65
MDW,Chicago             IL,*,Salt Lake City      UT,1.22,3,No,Yes,2711.422267,29260,21121,7830332,1228816,Free,Free,1259,5763,185.65
*,Denver              CO,*,Salt Lake City      UT,1,3,No,No,2587.577316,29055,21121,1862106,1228816,Free,Free,388,12994,69.6
*,Las Vegas           NV,*,Salt Lake City      UT,1.01,3,Yes,Yes,3935.005174,24575,21121,1197234,1228816,Free,Free,359,10349,57.4
*,Los Angeles         CA,*,Salt Lake City      UT,1.05,3,No,Yes,5089.745449,24706,21121,9056076,1228816,Free,Free,584,17617,66.46
JFK,New York/Newark     NY,*,Salt Lake City      UT,1.64,3,No,No,3863.499029,32991,21121,8621121,1228816,Controlled,Free,1982,4739,259.32
LGA,New York/Newark     NY,*,Salt Lake City      UT,1.64,3,No,No,3863.499029,32991,21121,8621121,1228816,Controlled,Free,1982,4739,259.32
EWR,New York/Newark     NY,*,Salt Lake City      UT,1.64,1,No,No,3863.499029,32991,21121,8621121,1228816,Free,Constrained,1982,4739,259.32
*,Oakland             CA,*,Salt Lake City      UT,1,1,No,Yes,5218.377928,29846,21121,2237227,1228816,Free,Free,586,6460,69.95
*,Phoenix             AZ,*,Salt Lake City      UT,1.01,3,No,Yes,3570.781383,23025,21121,2753373,1228816,Free,Free,495,12447,73.69
*,Sacramento          CA,*,Salt Lake City      UT,1.05,1,No,Yes,6050.649525,24236,21121,1481076,1228816,Free,Free,525,4176,72.22
*,San Diego           CA,*,Salt Lake City      UT,1.06,3,No,Yes,5193.606944,23903,21121,2673620,1228816,Free,Free,617,6671,65.91
*,San Francisco       CA,*,Salt Lake City      UT,1.02,3,No,No,4491.651563,38813,21121,1653017,1228816,Free,Free,593,6213,85.19
*,Seattle/Tacoma      WA,*,Salt Lake City      UT,1.03,3,No,Yes,5135.884368,30916,21121,2230831,1228816,Free,Free,696,9201,78.3
ORD,Chicago             IL,*,San Antonio         TX,1.28,3,No,Yes,3262.148046,29260,21276,7830332,1481709,Controlled,Free,1038,6233,128.36
MDW,Chicago             IL,*,San Antonio         TX,1.28,3,No,Yes,3262.148046,29260,21276,7830332,1481709,Free,Free,1038,6233,128.36
*,Dallas/Fort Worth   TX,*,San Antonio         TX,1.01,3,No,Yes,5130.286747,28637,21276,3036732,1481709,Free,Free,242,22163,63.69
*,Houston             TX,*,San Antonio         TX,1,3,No,Yes,5751.815143,27211,21276,3770125,1481709,Free,Free,177,10581,63.92
*,Las Vegas           NV,*,San Antonio         TX,1.3,3,Yes,Yes,5553.156143,24575,21276,1197234,1481709,Free,Free,1074,6756,86.71
*,Los Angeles         CA,*,San Antonio         TX,1.42,3,No,Yes,2909.148845,24706,21276,9056076,1481709,Free,Free,1218,4620,130.09
JFK,New York/Newark     NY,*,San Antonio         TX,1.78,3,No,No,2905.974705,32991,21276,8621121,1481709,Controlled,Free,1577,3732,273.53
LGA,New York/Newark     NY,*,San Antonio         TX,1.78,3,No,No,2905.974705,32991,21276,8621121,1481709,Controlled,Free,1577,3732,273.53
EWR,New York/Newark     NY,*,San Antonio         TX,1.78,3,No,No,2905.974705,32991,21276,8621121,1481709,Free,Constrained,1577,3732,273.53
*,Orlando             FL,*,San Antonio         TX,1.6,2,Yes,Yes,2366.3644,22360,21276,1421287,1481709,Free,Free,1032,2978,118.17
*,Atlanta             GA,*,San Diego           CA,1.44,3,No,No,5011.877804,26993,23903,3532657,2673620,Free,Free,1886,4445,204.35
*,Boston              MA,*,San Diego           CA,1.94,3,No,No,1888.302948,30124,23903,5787293,2673620,Free,Free,2576,3987,291.51
ORD,Chicago             IL,*,San Diego           CA,1.27,1,No,Yes,2863.202497,29260,23903,7830332,2673620,Controlled,Free,1724,9252,219.63
MDW,Chicago             IL,*,San Diego           CA,1.27,3,No,Yes,2863.202497,29260,23903,7830332,2673620,Free,Free,1724,9252,219.63
*,Dallas/Fort Worth   TX,*,San Diego           CA,1.18,3,No,No,5570.803174,28637,23903,3036732,2673620,Free,Free,1163,4596,252.97
*,Denver              CO,*,San Diego           CA,1.2,3,No,No,6496.302339,29055,23903,1862106,2673620,Free,Free,840,6901,134.79
*,Las Vegas           NV,*,San Diego           CA,1.01,0,Yes,Yes,6906.754346,24575,23903,1197234,2673620,Free,Free,258,17966,53.14
*,Los Angeles         CA,*,San Diego           CA,1,3,No,No,3105.312203,24706,23903,9056076,2673620,Free,Free,114,6446,70.41
*,Los Angeles         CA,*,San Diego           CA,1,3,No,No,3105.312203,24706,23903,9056076,2673620,Free,Free,114,6446,70.41
*,Minneapolis/St Paul MN,*,San Diego           CA,1.3,3,No,No,5472.065301,28739,23903,2761118,2673620,Free,Constrained,1532,3066,251.73
JFK,New York/Newark     NY,*,San Diego           CA,1.57,3,No,No,2313.603584,32991,23903,8621121,2673620,Controlled,Free,2433,9343,299.17
LGA,New York/Newark     NY,*,San Diego           CA,1.57,3,No,No,2313.603584,32991,23903,8621121,2673620,Controlled,Free,2433,9343,299.17
EWR,New York/Newark     NY,*,San Diego           CA,1.57,1,No,No,2313.603584,32991,23903,8621121,2673620,Free,Constrained,2433,9343,299.17
*,Oakland             CA,*,San Diego           CA,1.02,3,No,Yes,9588.086502,29846,23903,2237227,2673620,Free,Free,448,16226,57.29
*,Phoenix             AZ,*,San Diego           CA,1.01,3,No,Yes,5918.841329,23025,23903,2753373,2673620,Free,Free,295,20653,50.1
*,San Francisco       CA,*,San Diego           CA,1.02,3,No,Yes,5101.828898,38813,23903,1653017,2673620,Free,Free,455,27906,58.68
*,Seattle/Tacoma      WA,*,San Diego           CA,1.26,3,No,Yes,5588.715512,30916,23903,2230831,2673620,Free,Free,1056,11396,100.8
*,Atlanta             GA,*,San Francisco       CA,1.36,3,No,No,5492.599331,26993,38813,3532657,1653017,Free,Free,2137,10112,248.49
*,Boston              MA,*,San Francisco       CA,1.39,3,No,No,5559.43255,30124,38813,5787293,1653017,Free,Free,2694,16050,367.72
*,Burbank             CA,*,San Francisco       CA,1,3,No,No,9978.485632,24706,38813,9056076,1653017,Free,Free,332,14363,83.74
ORD,Chicago             IL,*,San Francisco       CA,1.2,3,No,No,5068.532206,29260,38813,7830332,1653017,Controlled,Free,1851,20831,291.66
MDW,Chicago             IL,*,San Francisco       CA,1.2,3,No,No,5068.532206,29260,38813,7830332,1653017,Free,Free,1851,20831,291.66
*,Dallas/Fort Worth   TX,*,San Francisco       CA,1.24,3,No,No,4935.183463,28637,38813,3036732,1653017,Free,Free,1463,7537,297.83
*,Denver              CO,*,San Francisco       CA,1.09,3,No,No,7251.372448,29055,38813,1862106,1653017,Free,Free,960,15039,168.96
*,Detroit             MI,*,San Francisco       CA,1.37,3,No,No,5583.016254,26506,38813,4459144,1653017,Free,Constrained,2084,4913,314.88
*,Houston             TX,*,San Francisco       CA,1.26,3,No,Yes,4745.300669,27211,38813,3770125,1653017,Free,Free,1637,7341,241.04
*,Kansas City         MO,*,San Francisco       CA,1.35,3,No,No,2024.970308,25450,38813,1694803,1653017,Free,Free,1500,6158,116.52
*,Las Vegas           NV,*,San Francisco       CA,1.06,3,Yes,Yes,4548.613398,24575,38813,1197234,1653017,Free,Free,416,17840,72.58
*,Los Angeles         CA,*,San Francisco       CA,1.02,3,No,No,7664.026329,24706,38813,9056076,1653017,Free,Free,341,43671,79.23
*,Miami               FL,*,San Francisco       CA,1.43,3,Yes,No,4074.103822,21207,38813,2105604,1653017,Free,Free,2579,4583,261.67
*,Minneapolis/St Paul MN,*,San Francisco       CA,1.19,3,No,No,6902.154803,28739,38813,2761118,1653017,Free,Constrained,1589,8881,224.17
JFK,New York/Newark     NY,*,San Francisco       CA,1.24,3,No,No,3362.858857,32991,38813,8621121,1653017,Controlled,Free,2574,41492,374.4
LGA,New York/Newark     NY,*,San Francisco       CA,1.24,3,No,No,3362.858857,32991,38813,8621121,1653017,Controlled,Free,2574,41492,374.4
EWR,New York/Newark     NY,*,San Francisco       CA,1.24,3,No,No,3362.858857,32991,38813,8621121,1653017,Free,Constrained,2574,41492,374.4
*,Orlando             FL,*,San Francisco       CA,1.66,3,Yes,No,2638.871141,22360,38813,1421287,1653017,Free,Free,2443,4799,261.74
*,Philadelphia/Camden PA,*,San Francisco       CA,1.41,3,No,No,3516.9699,27994,38813,4948339,1653017,Free,Free,2523,8081,326.76
*,Phoenix             AZ,*,San Francisco       CA,1.03,3,No,Yes,3405.746505,23025,38813,2753373,1653017,Free,Free,646,14400,85.52
*,Seattle/Tacoma      WA,*,San Francisco       CA,1.02,3,No,No,5124.224798,30916,38813,2230831,1653017,Free,Free,676,20727,81.28
*,Austin              TX,*,San Jose            CA,1.17,3,No,Yes,7262.648688,23665,34880,1038660,1594251,Free,Free,1473,4071,200.41
*,Boston              MA,*,San Jose            CA,1.53,3,No,No,5155.470714,30124,34880,5787293,1594251,Free,Free,2682,3677,402.02
*,Burbank             CA,*,San Jose            CA,1,3,No,Yes,9986.318727,24706,34880,9056076,1594251,Free,Free,296,10770,59.8
ORD,Chicago             IL,*,San Jose            CA,1.27,3,No,No,3654.112697,29260,34880,7830332,1594251,Controlled,Free,1837,4600,294.18
MDW,Chicago             IL,*,San Jose            CA,1.27,3,No,No,3654.112697,29260,34880,7830332,1594251,Free,Free,1837,4600,294.18
*,Dallas/Fort Worth   TX,*,San Jose            CA,1.12,3,No,No,7516.354827,28637,34880,3036732,1594251,Free,Free,1436,4799,325.02
*,Denver              CO,*,San Jose            CA,1.18,3,No,No,8142.602873,29055,34880,1862106,1594251,Free,Free,943,4166,263.48
*,Las Vegas           NV,*,San Jose            CA,1.01,3,Yes,Yes,5472.43406,24575,34880,1197234,1594251,Free,Free,387,13378,55.16
*,Los Angeles         CA,*,San Jose            CA,1,3,No,Yes,4636.253445,24706,34880,9056076,1594251,Free,Free,305,26888,58.98
*,Phoenix             AZ,*,San Jose            CA,1.05,3,No,Yes,5108.012526,23025,34880,2753373,1594251,Free,Free,614,10131,92.57
*,San Diego           CA,*,San Jose            CA,1,3,No,Yes,4956.269525,23903,34880,2673620,1594251,Free,Free,419,17034,63.39
*,Seattle/Tacoma      WA,*,San Jose            CA,1.02,3,No,Yes,5201.64848,30916,34880,2230831,1594251,Free,Free,702,15072,63.3
JFK,New York/Newark     NY,*,Sarasota/Bradenton  FL,1.37,3,Yes,No,3787.292851,32991,30460,8621121,528868,Controlled,Free,1042,4028,137.25
LGA,New York/Newark     NY,*,Sarasota/Bradenton  FL,1.37,1,Yes,No,3787.292851,32991,30460,8621121,528868,Controlled,Free,1042,4028,137.25
EWR,New York/Newark     NY,*,Sarasota/Bradenton  FL,1.37,3,Yes,No,3787.292851,32991,30460,8621121,528868,Free,Constrained,1042,4028,137.25
*,Anchorage           AK,*,Seattle/Tacoma      WA,1.02,3,No,No,6372.589251,28690,30916,249642,2230831,Free,Free,1443,14474,142.83
*,Atlanta             GA,*,Seattle/Tacoma      WA,1.47,3,No,No,5090.584092,26993,30916,3532657,2230831,Free,Free,2182,6124,200.2
*,Boston              MA,*,Seattle/Tacoma      WA,1.59,3,No,No,2705.026441,30124,30916,5787293,2230831,Free,Free,2489,4560,297.61
*,Burbank             CA,*,Seattle/Tacoma      WA,1.11,3,No,Yes,6039.760656,24706,30916,9056076,2230831,Free,Free,943,5638,97.46
ORD,Chicago             IL,*,Seattle/Tacoma      WA,1.25,1,No,No,4148.557379,29260,30916,7830332,2230831,Controlled,Free,1731,10343,260.16
MDW,Chicago             IL,*,Seattle/Tacoma      WA,1.25,3,No,No,4148.557379,29260,30916,7830332,2230831,Free,Free,1731,10343,260.16
*,Dallas/Fort Worth   TX,*,Seattle/Tacoma      WA,1.23,3,No,No,4487.067627,28637,30916,3036732,2230831,Free,Free,1662,6482,239.66
*,Denver              CO,*,Seattle/Tacoma      WA,1.14,3,No,No,6825.488382,29055,30916,1862106,2230831,Free,Free,1028,9760,169.92
*,Detroit             MI,*,Seattle/Tacoma      WA,1.42,3,No,No,5870.664159,26506,30916,4459144,2230831,Free,Constrained,1932,2575,285.34
*,Las Vegas           NV,*,Seattle/Tacoma      WA,1.16,3,Yes,Yes,2781.55356,24575,30916,1197234,2230831,Free,Free,869,15887,70.16
*,Los Angeles         CA,*,Seattle/Tacoma      WA,1.08,3,No,Yes,3905.343426,24706,30916,9056076,2230831,Free,Free,957,28988,101.64
*,Minneapolis/St Paul MN,*,Seattle/Tacoma      WA,1.13,3,No,No,7845.919243,28739,30916,2761118,2230831,Free,Constrained,1402,6907,186.96
JFK,New York/Newark     NY,*,Seattle/Tacoma      WA,1.52,1,No,No,2019.980267,32991,30916,8621121,2230831,Controlled,Free,2411,10125,289.25
LGA,New York/Newark     NY,*,Seattle/Tacoma      WA,1.52,3,No,No,2019.980267,32991,30916,8621121,2230831,Controlled,Free,2411,10125,289.25
EWR,New York/Newark     NY,*,Seattle/Tacoma      WA,1.52,1,No,No,2019.980267,32991,30916,8621121,2230831,Free,Constrained,2411,10125,289.25
*,Oakland             CA,*,Seattle/Tacoma      WA,1.02,3,No,Yes,5328.848823,29846,30916,2237227,2230831,Free,Free,677,17497,63.06
*,Orlando             FL,*,Seattle/Tacoma      WA,1.88,3,Yes,No,2012.45964,22360,30916,1421287,2230831,Free,Free,2553,3183,238.73
*,Phoenix             AZ,*,Seattle/Tacoma      WA,1.22,3,No,Yes,2963.012477,23025,30916,2753373,2230831,Free,Free,1103,13153,110
*,Seattle/Tacoma      WA,*,Spokane             WA,1,3,No,Yes,5552.011686,30916,21300,2230831,403939,Free,Free,225,16507,51.3
*,Atlanta             GA,*,St Louis            MO,1.07,3,No,No,4636.003768,26993,25824,3532657,2549844,Free,Free,471,5303,199.8
ORD,Chicago             IL,*,St Louis            MO,1,3,No,Yes,3042.248191,29260,25824,7830332,2549844,Controlled,Free,257,24362,76.96
MDW,Chicago             IL,*,St Louis            MO,1,3,No,Yes,3042.248191,29260,25824,7830332,2549844,Free,Free,257,24362,76.96
*,Cleveland           OH,*,St Louis            MO,1.04,3,No,Yes,3642.392809,26046,25824,2230955,2549844,Free,Free,492,5629,77.62
*,Dallas/Fort Worth   TX,*,St Louis            MO,1.06,3,No,No,4803.130643,28637,25824,3036732,2549844,Free,Free,556,7478,188.11
*,Denver              CO,*,St Louis            MO,1.08,3,No,No,4128.599529,29055,25824,1862106,2549844,Free,Free,785,4186,207.17
*,Detroit             MI,*,St Louis            MO,1.02,3,No,Yes,3363.804819,26506,25824,4459144,2549844,Free,Constrained,447,10298,77.46
*,Houston             TX,*,St Louis            MO,1.03,3,No,Yes,3467.695639,27211,25824,3770125,2549844,Free,Free,682,7785,105.13
*,Kansas City         MO,*,St Louis            MO,1,3,No,Yes,5034.178293,25450,25824,1694803,2549844,Free,Free,244,9784,56.8
*,Las Vegas           NV,*,St Louis            MO,1.28,3,Yes,Yes,3699.423728,24575,25824,1197234,2549844,Free,Free,1379,4971,141.48
*,Los Angeles         CA,*,St Louis            MO,1.28,3,No,Yes,5138.00847,24706,25824,9056076,2549844,Free,Free,1602,6165,210.16
*,Minneapolis/St Paul MN,*,St Louis            MO,1.03,3,No,No,4901.101337,28739,25824,2761118,2549844,Free,Constrained,457,4826,202.77
JFK,New York/Newark     NY,*,St Louis            MO,1.16,3,No,No,6275.60641,32991,25824,8621121,2549844,Controlled,Free,877,10816,261.63
LGA,New York/Newark     NY,*,St Louis            MO,1.16,3,No,No,6275.60641,32991,25824,8621121,2549844,Controlled,Free,877,10816,261.63
EWR,New York/Newark     NY,*,St Louis            MO,1.16,3,No,No,6275.60641,32991,25824,8621121,2549844,Free,Constrained,877,10816,261.63
*,Orlando             FL,*,St Louis            MO,1.29,3,Yes,Yes,4708.441389,22360,25824,1421287,2549844,Free,Free,869,6082,142.98
*,Phoenix             AZ,*,St Louis            MO,1.07,3,No,Yes,3503.222125,23025,25824,2753373,2549844,Free,Free,1272,5830,137.2
JFK,New York/Newark     NY,*,Syracuse            NY,1,3,No,No,2806.915805,32991,22069,8621121,743633,Controlled,Free,199,5275,120.84
LGA,New York/Newark     NY,*,Syracuse            NY,1,3,No,No,2806.915805,32991,22069,8621121,743633,Controlled,Free,199,5275,120.84
EWR,New York/Newark     NY,*,Syracuse            NY,1,3,No,No,2806.915805,32991,22069,8621121,743633,Free,Constrained,199,5275,120.84
*,Orlando             FL,*,Syracuse            NY,1.55,3,Yes,No,3503.113716,22360,22069,1421287,743633,Free,Free,1054,3861,119.9
*,Miami               FL,*,Tallahassee         FL,1.04,3,Yes,No,3375.369546,21207,21002,2105604,258019,Free,Free,399,2789,105.45
*,Atlanta             GA,*,Tampa               FL,1.01,3,Yes,No,4891.840077,26993,23654,3532657,2195215,Free,Free,414,17437,87.35
*,Boston              MA,*,Tampa               FL,1.27,3,Yes,No,2982.623462,30124,23654,5787293,2195215,Free,Free,1183,10673,124.82
ORD,Chicago             IL,*,Tampa               FL,1.14,3,Yes,Yes,2260.166436,29260,23654,7830332,2195215,Controlled,Free,1008,17160,127.06
MDW,Chicago             IL,*,Tampa               FL,1.14,3,Yes,Yes,2260.166436,29260,23654,7830332,2195215,Free,Free,1008,17160,127.06
*,Columbus            OH,*,Tampa               FL,1.55,3,Yes,Yes,2553.165025,24502,23654,125722,2195215,Free,Free,834,4587,106.65
*,Dallas/Fort Worth   TX,*,Tampa               FL,1.13,3,Yes,No,5565.53844,28637,23654,3036732,2195215,Free,Free,936,5196,200.69
*,Detroit             MI,*,Tampa               FL,1.17,3,Yes,No,4984.076861,26506,23654,4459144,2195215,Free,Constrained,994,10640,107.51
*,Fort Lauderdale     FL,*,Tampa               FL,1,3,Yes,Yes,3692.279314,26752,23654,1440377,2195215,Free,Free,187,13264,46.32
*,Hartford            CT,*,Tampa               FL,1.44,3,Yes,No,4633.509822,30268,23654,1106780,2195215,Free,Free,1108,4410,125.25
*,Las Vegas           NV,*,Tampa               FL,1.67,3,Yes,Yes,2238.077039,24575,23654,1197234,2195215,Free,Free,1989,3905,128.97
*,Los Angeles         CA,*,Tampa               FL,1.61,3,Yes,No,3873.0015,24706,23654,9056076,2195215,Free,Free,2164,4065,224.21
*,Miami               FL,*,Tampa               FL,1,3,Yes,No,5791.781215,21207,23654,2105604,2195215,Free,Free,194,7464,85.62
JFK,New York/Newark     NY,*,Tampa               FL,1.1,3,Yes,No,2422.983649,32991,23654,8621121,2195215,Controlled,Free,1009,27103,123.89
LGA,New York/Newark     NY,*,Tampa               FL,1.1,3,Yes,No,2422.983649,32991,23654,8621121,2195215,Controlled,Free,1009,27103,123.89
EWR,New York/Newark     NY,*,Tampa               FL,1.1,0,Yes,No,2422.983649,32991,23654,8621121,2195215,Free,Constrained,1009,27103,123.89
*,Philadelphia/Camden PA,*,Tampa               FL,1.15,3,Yes,No,6172.241633,27994,23654,4948339,2195215,Free,Free,932,8064,122.99
*,Pittsburgh          PA,*,Tampa               FL,1.29,3,Yes,No,7105.011318,25054,23654,2374260,2195215,Free,Constrained,874,4715,119.84
*,St Louis            MO,*,Tampa               FL,1.19,3,Yes,Yes,4136.634218,25824,23654,2549844,2195215,Free,Free,865,4749,135.76
*,Las Vegas           NV,*,Tucson              AZ,1.1,3,Yes,Yes,3552.111716,24575,20375,1197234,766956,Free,Free,357,5658,49.77
*,Los Angeles         CA,*,Tucson              AZ,1.05,1,No,Yes,3098.735869,24706,20375,9056076,766956,Free,Free,447,12808,49.02
*,San Diego           CA,*,Tucson              AZ,1.17,3,No,Yes,6167.001991,23903,20375,2673620,766956,Free,Free,358,4307,54.96
*,Dallas/Fort Worth   TX,*,Tulsa               OK,1,3,No,Yes,4601.963478,28637,22956,3036732,754013,Free,Free,239,11479,64.97
*,Houston             TX,*,Tulsa               OK,1.07,3,No,Yes,4959.214633,27211,22956,3770125,754013,Free,Free,444,7782,100.36
*,Albuquerque         NM,IAD,Washington          DC,1.89,3,No,No,2225.743272,22089,31981,668159,4549784,Free,Free,1643,3740,215.57
*,Albuquerque         NM,DCA,Washington          DC,1.89,3,No,No,2225.743272,22089,31981,668159,4549784,Controlled,Free,1643,3740,215.57
*,Atlanta             GA,IAD,Washington          DC,1.12,3,No,No,6334.031869,26993,31981,3532657,4549784,Free,Free,539,23531,166.67
*,Atlanta             GA,DCA,Washington          DC,1.12,3,No,No,6334.031869,26993,31981,3532657,4549784,Controlled,Free,539,23531,166.67
*,Boston              MA,IAD,Washington          DC,1.04,3,No,No,5483.285337,30124,31981,5787293,4549784,Free,Free,400,37715,132.79
*,Boston              MA,DCA,Washington          DC,1.04,3,No,No,5483.285337,30124,31981,5787293,4549784,Controlled,Free,400,37715,132.79
ORD,Chicago             IL,IAD,Washington          DC,1.09,3,No,No,5560.734403,29260,31981,7830332,4549784,Controlled,Free,591,27713,145.61
ORD,Chicago             IL,DCA,Washington          DC,1.09,3,No,No,5560.734403,29260,31981,7830332,4549784,Controlled,Free,591,27713,145.61
MDW,Chicago             IL,IAD,Washington          DC,1.09,3,No,No,5560.734403,29260,31981,7830332,4549784,Free,Free,591,27713,145.61
MDW,Chicago             IL,DCA,Washington          DC,1.09,3,No,No,5560.734403,29260,31981,7830332,4549784,Controlled,Free,591,27713,145.61
